Product Title,Brand / Seller,Price,Primary Material,High-Resolution Image URL,Product Link
Casey Swivel Dining Chair In Olive And Tan Colour Set Of 2,Urban Ladder,19999.0,N/A,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/muOjw516I-Casey-Swivel-Dining-Chair-In-Olive-And-Tan-Colour-Set-Of-2.png,https://www.urbanladder.com/product/casey-swivel-dining-chair-in-dual-tone-8115847
Caribu Glass 4 To 6 Seater Extendable Dining Table In White High Gloss Finish,Urban Ladder,39999.0,Glass,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/Sjgma1U1Tx2-00.jpg,https://www.urbanladder.com/product/caribu-glass-4-to-6-seater-extendable-dining-table-in-white-high-gloss-finish-7519589
Diner 4 Seater Dining Table In Dark Walnut Finish,Urban Ladder,10999.0,N/A,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/1fwgXWutMy-00.jpg,https://www.urbanladder.com/product/diner-4-seater-dining-table-in-dark-walnut-finish-7519532
Ava 4 Seater Dining Table In Umber Walnut Finish,Urban Ladder,6999.0,N/A,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/38fow9Vcbq-00.jpg,https://www.urbanladder.com/product/ava-4-seater-dining-table-in-umber-walnut-finish-7519560-9421489
Harper Solid Wood Single Dining Chair In Honey Finish with Taupe Leatherette Colour,Urban Ladder,9999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/pU_vh1uhe-Harper-Solid-Wood-Single-Dining-Chair-In-Honey-Finish-with-Taupe-Leatherette-Colour.jpeg,https://www.urbanladder.com/product/harper-solid-wood-dining-chair-in-honey-finish-fabric-taupe-leatherette-9333468
Beck Swivel Metal Dining Chair Set Of 2 In Taupe Leatherette,Urban Ladder,24999.0,Metal,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/FsDu7P1Jc4-LP.jpg,https://www.urbanladder.com/product/beck-swivel-metal-dining-chair-set-of-2-in-taupe-leatherette-9253670
Lawson Solid Wood Dining Chair Set Of 2 In Walnut Finish,Urban Ladder,6999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/z9Fr1b6wUh-01.png,https://www.urbanladder.com/product/lawson-solid-wood-dining-chair-set-of-2-in-walnut-finish-7519038
Arlo Teak Wood 6 Seater Dining Table in Sienna Teak Finish,Urban Ladder,22999.0,Teak Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/DPc_uy_PBkc-00.jpg,https://www.urbanladder.com/product/arlo-teak-wood-6-seater-dining-table-finish-sienna-teak-size-1500x900mm-8590577
Aeris Ceramic 4 to 6 Seater Extendable Dining Table in Gilded White Finish,Urban Ladder,84999.0,Ceramic,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/4SOJ4w1Xn_-a.jpg,https://www.urbanladder.com/product/aeris-ceramic-4-to-6-seater-extendable-dining-table-in-gilded-white-9334406
Dalla Solid Wood Dining Chair Set Of 2 In Grey Colour,Urban Ladder,13999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/LuzESXvUq-01.jpg,https://www.urbanladder.com/product/dalla-solid-wood-dining-chair-set-of-2-in-finish-7519073
Diner Solid Wood Dining Chair Set Of 2 In Dark Walnut Finish With Grey Colour Fabric,Urban Ladder,10999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/Cg3jXWSL30c-01.jpg,https://www.urbanladder.com/product/diner-solid-wood-dining-chair-set-of-2-in-dark-walnut-finish-7519040
Matteo Faux Marble 4 Seater Dining Table In Dark Walnut Finish,Urban Ladder,15999.0,Marble,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/Z2Iruq_9TVL-00.jpg,https://www.urbanladder.com/product/matteo-stone-4-seater-dining-table-in-dark-walnut-finish-7519591
Bren Swivel Dining Chair In Auburn Fabric,Urban Ladder,21999.0,Fabric,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/KnrpFI83t-a.png,https://www.urbanladder.com/product/bren-swivel-dining-chair-in-auburn-fabric-8115862
Wella Swivel Solid Wood Dining Chair Set of 2 in Terracotta Fabric,Urban Ladder,21999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/Ir6wiBCR5D-LP.jpg,https://www.urbanladder.com/product/wella-swivel-solid-wood-dining-chair-set-of-2-in-terracotta-fabric-9264231
Atlas Solid Wood Dining Chairs Set Of 2 in Honey Finish with Baltic Blue Colour,Urban Ladder,9999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/RkA-tfc7oIg-1.jpg,https://www.urbanladder.com/product/atlas-dining-chairs-set-of-2-finish-honey-colour-baltic-blue-8716745
Tulip Swivel Dining Chair In Tan Colour,Urban Ladder,9999.0,N/A,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/1ik79Yr1bzW-01.jpg,https://www.urbanladder.com/product/tulip-swivel-dining-chair-dual-tone-8115869
Lawson Solid Wood 4 Seater Dining Table In Walnut Finish,Urban Ladder,7999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/hiRPYG3T7dV-00.jpg,https://www.urbanladder.com/product/lawson-engineered-wood-4-seater-dining-table-in-walnut-finish-7519578
Reed Solid Wood Dining Chair Set Of 2 In Finish Amber Walnut And Colour Macadamia Brown Hopsack Weave,Urban Ladder,14999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/0mdl42tZ9pw-01.jpg,https://www.urbanladder.com/product/reed-solid-wood-dining-chair-set-of-2-finish-amber-walnut-fabric-macadamia-brown-hopsack-weave-8340458
Emry Rectangular Statuario Ceramic 4 Seater Dining Table In Honey Finish,Urban Ladder,24999.0,Ceramic,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/IlbG7FoQLx-a.jpg,https://www.urbanladder.com/product/emry-rectangular-statuario-ceramic-4-seater-dining-table-in-honey-finish-9300854
Atlas Solid Wood 6 Seater Compact Dining Table In Honey Finish,Urban Ladder,17999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/WwLQaPmvCe-00.jpg,https://www.urbanladder.com/product/atlas-solid-wood-6-seater-compact-dining-table-in-honey-finish-8340179
Clarke Solid Wood Dining Chair Set of 2 in Danish Walnut Finish with Olive Leatherette,Urban Ladder,13999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/n21h-9Rz8l-a.jpg,https://www.urbanladder.com/product/clarke-solid-wood-dining-chair-set-of-2-in-danish-walnut-finish-with-olive-leatherette-9264240
Vanalen Glass 6 To 8 Seater Dining Table In Dark Walnut Finish,Urban Ladder,14999.0,Glass,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/LIWe_uy1xn-0.jpg,https://www.urbanladder.com/product/vanalen-glass-6-to-8-seater-dining-table-in-dark-walnut-finish-7519573
Murphy 6 Seater Dining Table In Dark Walnut Finish,Urban Ladder,16999.0,N/A,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/7dcOsLVH851-00.jpg,https://www.urbanladder.com/product/murphy-6-seater-dining-table-in-dark-walnut-finish-7519544
Paloma 6 Seater Dining Table in Spanish Ceramic Finish,Urban Ladder,99999.0,Ceramic,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/pwgzYitlKw8-00.jpg,https://www.urbanladder.com/product/paloma-6-seater-spanish-ceramic-dining-table-8115829
Ingrid Leatherette Dining Chair Set Of 2 In White Colour,Urban Ladder,9999.0,Leatherette,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/kYEvlM7BhuD-01.jpg,https://www.urbanladder.com/product/ingrid-leatherette-dining-chair-set-of-2-in-finish-7519401
Gabriele Onyx Composite Solid Teak Wood 6 Seater Pedestal Dining Table In Clear Teak Finish,Urban Ladder,79999.0,Teak Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/jziOpTkjUm-00.jpg,https://www.urbanladder.com/product/gabriele-onex-6-seater-pedestal-dining-table-finish-clear-teak-8115833
Arabia Solid Wood 6 Seater Dining Table In Teak Finish,Urban Ladder,20499.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/DqYOULeoQc-00.jpg,https://www.urbanladder.com/product/arabia-solid-wood-6-seater-dining-table-7519569
Adria Carrara White Quartz 6 Seater Dining Table In New Walnut Finish,Urban Ladder,49999.0,N/A,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/ycNpMQx8vHx-00.jpg,https://www.urbanladder.com/product/adria-carrara-white-quartz-6-seater-dining-table-in-new-walnut-finish-8503651
Calix Swivel Metal Dining Chair Set of 2 in Beige Fabric,Urban Ladder,21999.0,Metal,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/YDbrqTufNH-LP.jpg,https://www.urbanladder.com/product/calix-swivel-metal-dining-chair-set-of-2-in-beige-fabric-9264229
Persica Solid Wood Dining Chair Set Of 2 In Dark Walnut Finish,Urban Ladder,13999.0,Solid Wood,https://cdn.swadeshonline.com/v2/patient-paper-41f385/swad-p/wrkr/products/pictures/item/free/450x0/bDEc5m5m2c-01.jpg,https://www.urbanladder.com/product/persica-solid-wood-dining-chair-set-of-2-in-dark-walnut-finish-7519022
